,latency,time
36223029,181062,141338602778
36360134,180487,150049249928
36407962,180275,7851279763
36500794,179888,131831279927
36575088,179575,97639729939
36580878,179550,89424768627
36637432,179312,100592875452
36643323,179287,116706942815
36734958,178888,85425760639
36782540,178687,11356104463
36783657,178687,137903132903
36830376,178475,21370259663
36861378,178350,119455559015
36872569,178300,94460713452
36919093,178100,121451960115
36921621,178087,27721391026
36933069,178037,17386560313
36983422,177813,45390851488
37040783,177563,15560010375
37078302,177400,44193366413
37139646,177137,52002773376
37208960,176825,10235345638
37305083,176400,31376575013
37319739,176338,125454926477
37361732,176150,83237525452
37380082,176075,143976804978
37399026,175987,7354948288
37446812,175775,119451042802
37515574,175462,5351042463
37517744,175450,54606329201
37536569,175363,37380105613
37569804,175213,60678969676
37590735,175125,113445552965
37778635,174275,156435898828
37782785,174250,77414302801
37870030,173850,65888255801
37924569,173600,84975700902
37931449,173563,3877954950
37996487,173263,2537684075
38021625,173150,67399960126
38022015,173150,91913845639
38062713,172962,59398844839
38156104,172525,59813031364
38396843,171388,33379430563
38520695,170800,43386056751
38535085,170737,101433647302
38564715,170588,83417702064
38579612,170525,157862550890
38604829,170400,131466811152
38622582,170312,67624236789
38718975,169850,137467018840
38833457,169288,132699635227
39085229,168050,130961569665
39157737,167687,107438934515
39221277,167363,97423827589
39239684,167275,123860004865
39289445,167025,81417789427
39319402,166875,121477627777
39329404,166825,140127341065
39509441,165900,14208535850
39622708,165325,71409165314
39640061,165237,34650713726
39911332,163825,117446219727
40312032,161687,67407042864
40428317,161050,18180696988
40481837,160763,95428022764
40483367,160762,158822452778
40491902,160712,65404010064
40510411,160612,111875283315
40538298,160462,144845018578
40547479,160412,153257534853
40551160,160387,30313338451
40586306,160188,30898865463
40696256,159587,38048158776
40991054,157938,159483247890
41014335,157812,131460418040
41030175,157713,17291803675
41054286,157575,1493139575
41094433,157350,1673711000
41102801,157312,103439423952
41104219,157300,69359307339
41205194,156725,55391094326
41231578,156575,65063431051
41368044,155800,135300529203
41402426,155600,115913784752
41428101,155450,81747098639
41445937,155350,123153260440
41488143,155100,38845974526
41594954,154487,100022748627
41759378,153525,22769059925
41761685,153513,52871512538
41765284,153500,140542909415
41843352,153037,7348007413
41877270,152838,99935189414
41920985,152587,79407845314
41932336,152513,41590553488
42081037,151638,24539165775
42151347,151225,19365713175
42218632,150825,29377576701
42268241,150537,109433678065
42269690,150525,85424927289
42274578,150500,127262603715
42287317,150425,145712052103
42330679,150162,56325082714
42349154,150050,87423509402
42485998,149237,145475753328
42518535,149038,157810205065
42562150,148775,92868668077
42772711,147500,105439806827
42899445,146725,88447108114
42974346,146263,47395543663
43032094,145913,131806175527
43074986,145650,43667185726
43121558,145363,61404258176
43129353,145325,157488220390
43362969,143887,152654846403
43448449,143350,73413571501
43471069,143212,102407514302
43482078,143138,107535630452
